index	prefix	input_text	target_text	input_text_fa	target_text_fa	natural	natural_fa	natural_input_text_en	natural_target_text	natural_input_text_fa	natural_target_text_fa
282	xIntent	PersonX likes the ___ much	likes the kids much	PersonX ___ را بسیار دوست دارد	بچه ها را خیلی دوست دارد	PersonX likes the ___ much. PersonX intends likes the kids much	PersonX ___ را بسیار دوست دارد. PersonX قصد دارد بچه ها را خیلی دوست داشته باشد	PersonX likes the ___ much	 PersonX intends likes the kids much	PersonX ___ را بسیار دوست دارد	 PersonX قصد دارد بچه ها را خیلی دوست داشته باشد
283	xIntent	PersonX leaves PersonY's ___ behind	to be free of weapons	PersonX ___ PersonY را پشت سر می گذارد	بدون اسلحه	PersonX leaves PersonY's ___ behind. PersonX intends to be free of weapons	PersonX ___ PersonY را پشت سر می گذارد. PersonX قصد دارد بدون سلاح باشد	PersonX leaves PersonY's ___ behind	 PersonX intends to be free of weapons	PersonX ___ PersonY را پشت سر می گذارد	 PersonX قصد دارد بدون سلاح باشد
284	xIntent	PersonX leaves PersonY's ___ behind	not to be encumbered by others	PersonX ___ PersonY را پشت سر می گذارد	گرفتار دیگران نشوند	PersonX leaves PersonY's ___ behind. PersonX intends not to be encumbered by others	PersonX ___ PersonY را پشت سر می گذارد. PersonX قصد دارد که توسط دیگران سنگین نشود	PersonX leaves PersonY's ___ behind	 PersonX intends not to be encumbered by others	PersonX ___ PersonY را پشت سر می گذارد	 PersonX قصد دارد که توسط دیگران سنگین نشود
285	xIntent	PersonX leaves PersonY's ___ behind	no part of persony	PersonX ___ PersonY را پشت سر می گذارد	هیچ بخشی از شخصیت	PersonX leaves PersonY's ___ behind. PersonX intends no part of persony	PersonX ___ PersonY را پشت سر می گذارد. PersonX هیچ بخشی از شخصیت را در نظر ندارد	PersonX leaves PersonY's ___ behind	 PersonX intends no part of persony	PersonX ___ PersonY را پشت سر می گذارد	 PersonX هیچ بخشی از شخصیت را در نظر ندارد
286	xIntent	PersonX pushes the ___ aside	another branch	PersonX ___ را کنار می زند	یک شاخه دیگر	PersonX pushes the ___ aside. PersonX intends another branch	PersonX ___ را کنار می زند. PersonX شعبه دیگری را در نظر دارد	PersonX pushes the ___ aside	 PersonX intends another branch	PersonX ___ را کنار می زند	 PersonX شعبه دیگری را در نظر دارد
287	xIntent	PersonX pushes the ___ aside	the sunlight to come into the room	PersonX ___ را کنار می زند	نور خورشید به داخل اتاق می آید	PersonX pushes the ___ aside. PersonX intends the sunlight to come into the room	PersonX ___ را کنار می زند. PersonX قصد دارد نور خورشید به داخل اتاق بیاید	PersonX pushes the ___ aside	 PersonX intends the sunlight to come into the room	PersonX ___ را کنار می زند	 PersonX قصد دارد نور خورشید به داخل اتاق بیاید
288	xIntent	PersonX pushes the ___ aside	to get __ out of the way	PersonX ___ را کنار می زند	__ از سر راه بردن	PersonX pushes the ___ aside. PersonX intends to get __ out of the way	PersonX ___ را کنار می زند. PersonX قصد دارد __ را از سر راه خود دور کند	PersonX pushes the ___ aside	 PersonX intends to get __ out of the way	PersonX ___ را کنار می زند	 PersonX قصد دارد __ را از سر راه خود دور کند
289	xIntent	PersonX lives PersonX's ___ in PersonX's way	honest	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	صادقانه	PersonX lives PersonX's ___ in PersonX's way. PersonX intends honest	PersonX به شیوه PersonX با ___ PersonX زندگی می کند. PersonX قصد دارد صادقانه باشد	PersonX lives PersonX's ___ in PersonX's way	 PersonX intends honest	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	 PersonX قصد دارد صادقانه باشد
290	xIntent	PersonX lives PersonX's ___ in PersonX's way	to be his own man	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	مرد خودش باشد	PersonX lives PersonX's ___ in PersonX's way. PersonX intends to be his own man	PersonX به شیوه PersonX با ___ PersonX زندگی می کند. PersonX قصد دارد که شخص خودش باشد	PersonX lives PersonX's ___ in PersonX's way	 PersonX intends to be his own man	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	 PersonX قصد دارد که شخص خودش باشد
291	xIntent	PersonX lives PersonX's ___ in PersonX's way	to decide his own fate	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	برای سرنوشت خود تصمیم بگیرد	PersonX lives PersonX's ___ in PersonX's way. PersonX intends to decide his own fate	PersonX به شیوه PersonX با ___ PersonX زندگی می کند. PersonX قصد دارد تا درباره سرنوشت خود تصمیم بگیرد	PersonX lives PersonX's ___ in PersonX's way	 PersonX intends to decide his own fate	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	 PersonX قصد دارد تا درباره سرنوشت خود تصمیم بگیرد
292	xIntent	PersonX lives PersonX's ___ in PersonX's way	doesn't trust others	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	به دیگران اعتماد ندارد	PersonX lives PersonX's ___ in PersonX's way. PersonX intends doesn't trust others	PersonX به شیوه PersonX با ___ PersonX زندگی می کند. PersonX قصد دارد به دیگران اعتماد نکند	PersonX lives PersonX's ___ in PersonX's way	 PersonX intends doesn't trust others	PersonX به شیوه PersonX با ___ PersonX زندگی می کند	 PersonX قصد دارد به دیگران اعتماد نکند
293	xIntent	PersonX avenges PersonY's father 's ___	to teach a lesson	PersonX انتقام ___ پدر PersonY را می گیرد	درس دادن	PersonX avenges PersonY's father 's ___. PersonX intends to teach a lesson	PersonX انتقام ___ پدر PersonY را می گیرد. PersonX قصد دارد یک درس بدهد	PersonX avenges PersonY's father 's ___	 PersonX intends to teach a lesson	PersonX انتقام ___ پدر PersonY را می گیرد	 PersonX قصد دارد یک درس بدهد
294	xIntent	PersonX avenges PersonY's father 's ___	to have justice	PersonX انتقام ___ پدر PersonY را می گیرد	عدالت داشتن	PersonX avenges PersonY's father 's ___. PersonX intends to have justice	PersonX انتقام ___ پدر PersonY را می گیرد. PersonX قصد دارد عدالت داشته باشد	PersonX avenges PersonY's father 's ___	 PersonX intends to have justice	PersonX انتقام ___ پدر PersonY را می گیرد	 PersonX قصد دارد عدالت داشته باشد
295	xIntent	PersonX avenges PersonY's father 's ___	revenge for someone	PersonX انتقام ___ پدر PersonY را می گیرد	انتقام کسی	PersonX avenges PersonY's father 's ___. PersonX intends revenge for someone	PersonX انتقام ___ پدر PersonY را می گیرد. PersonX قصد انتقام از شخصی را دارد	PersonX avenges PersonY's father 's ___	 PersonX intends revenge for someone	PersonX انتقام ___ پدر PersonY را می گیرد	 PersonX قصد انتقام از شخصی را دارد
296	xIntent	PersonX avenges PersonY's father 's ___	father's support	PersonX انتقام ___ پدر PersonY را می گیرد	حمایت پدر	PersonX avenges PersonY's father 's ___. PersonX intends father's support	PersonX انتقام ___ پدر PersonY را می گیرد. PersonX قصد حمایت پدر را دارد	PersonX avenges PersonY's father 's ___	 PersonX intends father's support	PersonX انتقام ___ پدر PersonY را می گیرد	 PersonX قصد حمایت پدر را دارد
297	xIntent	PersonX assesses children 's ___	to be helpful.	PersonX ___ کودکان را ارزیابی می کند	مفید بودن	PersonX assesses children 's ___. PersonX intends to be helpful.	PersonX ___ کودکان را ارزیابی می کند. PersonX قصد دارد مفید واقع شود.	PersonX assesses children 's ___	 PersonX intends to be helpful	PersonX ___ کودکان را ارزیابی می کند	 PersonX قصد دارد مفید واقع شود
298	xIntent	PersonX assesses children 's ___	to perform and avoid critical situations	PersonX ___ کودکان را ارزیابی می کند	برای انجام و جلوگیری از شرایط بحرانی	PersonX assesses children 's ___. PersonX intends to perform and avoid critical situations	PersonX ___ کودکان را ارزیابی می کند. PersonX قصد دارد شرایط بحرانی را انجام داده و از آنها اجتناب کند	PersonX assesses children 's ___	 PersonX intends to perform and avoid critical situations	PersonX ___ کودکان را ارزیابی می کند	 PersonX قصد دارد شرایط بحرانی را انجام داده و از آنها اجتناب کند
299	xIntent	PersonX adds ___ to the flame	to start an argument	PersonX ___ را به شعله اضافه می کند	برای شروع بحث	PersonX adds ___ to the flame. PersonX intends to start an argument	PersonX ___ را به شعله اضافه می کند. PersonX قصد دارد بحثی را آغاز کند	PersonX adds ___ to the flame	 PersonX intends to start an argument	PersonX ___ را به شعله اضافه می کند	 PersonX قصد دارد بحثی را آغاز کند
300	xIntent	PersonX adds ___ to the flame	to create problems	PersonX ___ را به شعله اضافه می کند	برای ایجاد مشکل	PersonX adds ___ to the flame. PersonX intends to create problems	PersonX ___ را به شعله اضافه می کند. PersonX قصد دارد مشکلاتی را ایجاد کند	PersonX adds ___ to the flame	 PersonX intends to create problems	PersonX ___ را به شعله اضافه می کند	 PersonX قصد دارد مشکلاتی را ایجاد کند
301	xIntent	PersonX supports one 's ___	to convince others about ones position	PersonX از ___ شخص پشتیبانی می کند	برای متقاعد کردن دیگران در مورد موقعیت	PersonX supports one 's ___. PersonX intends to convince others about ones position	PersonX از ___ شخص پشتیبانی می کند. PersonX قصد دارد دیگران را در مورد موقعیت خود متقاعد کند	PersonX supports one 's ___	 PersonX intends to convince others about ones position	PersonX از ___ شخص پشتیبانی می کند	 PersonX قصد دارد دیگران را در مورد موقعیت خود متقاعد کند
302	xIntent	PersonX supports one 's ___	to win an argument	PersonX از ___ شخص پشتیبانی می کند	برای به دست آوردن یک بحث	PersonX supports one 's ___. PersonX intends to win an argument	PersonX از ___ شخص پشتیبانی می کند. PersonX قصد دارد در یک استدلال پیروز شود	PersonX supports one 's ___	 PersonX intends to win an argument	PersonX از ___ شخص پشتیبانی می کند	 PersonX قصد دارد در یک استدلال پیروز شود
303	xIntent	PersonX supports one 's ___	to take side of someone	PersonX از ___ شخص پشتیبانی می کند	جانب کسی گرفتن	PersonX supports one 's ___. PersonX intends to take side of someone	PersonX از ___ شخص پشتیبانی می کند. PersonX قصد دارد طرف کسی شود	PersonX supports one 's ___	 PersonX intends to take side of someone	PersonX از ___ شخص پشتیبانی می کند	 PersonX قصد دارد طرف کسی شود
304	xIntent	PersonX supports one 's ___	to watch something interesting	PersonX از ___ شخص پشتیبانی می کند	برای تماشای یک چیز جالب	PersonX supports one 's ___. PersonX intends to watch something interesting	PersonX از ___ شخص پشتیبانی می کند. PersonX قصد دارد چیز جالبی را تماشا کند	PersonX supports one 's ___	 PersonX intends to watch something interesting	PersonX از ___ شخص پشتیبانی می کند	 PersonX قصد دارد چیز جالبی را تماشا کند
305	xIntent	PersonX seizes ___ by force	to prove his power	PersonX به زور ___ را تصرف می کند	برای اثبات قدرت خود	PersonX seizes ___ by force. PersonX intends to prove his power	PersonX به زور ___ را تصرف می کند. PersonX قصد دارد قدرت خود را ثابت کند	PersonX seizes ___ by force	 PersonX intends to prove his power	PersonX به زور ___ را تصرف می کند	 PersonX قصد دارد قدرت خود را ثابت کند
306	xIntent	PersonX seizes ___ by force	it is a power of people	PersonX به زور ___ را تصرف می کند	این یک قدرت مردم است	PersonX seizes ___ by force. PersonX intends it is a power of people	PersonX به زور ___ را تصرف می کند. PersonX قصد دارد این یک قدرت مردم باشد	PersonX seizes ___ by force	 PersonX intends it is a power of people	PersonX به زور ___ را تصرف می کند	 PersonX قصد دارد این یک قدرت مردم باشد
307	xIntent	PersonX seizes ___ by force	to get it done forcefully	PersonX به زور ___ را تصرف می کند	به زور انجام شود	PersonX seizes ___ by force. PersonX intends to get it done forcefully	PersonX به زور ___ را تصرف می کند. PersonX قصد دارد این کار را به زور انجام دهد	PersonX seizes ___ by force	 PersonX intends to get it done forcefully	PersonX به زور ___ را تصرف می کند	 PersonX قصد دارد این کار را به زور انجام دهد
308	xIntent	PersonX strikes ___ in the hearts	people to think they are scary	PersonX ___ به قلبها ضربه می زند	مردم فکر کنند ترسناک هستند	PersonX strikes ___ in the hearts. PersonX intends people to think they are scary	PersonX ___ به قلبها ضربه می زند. PersonX قصد دارد مردم فکر کنند که آنها ترسناک هستند	PersonX strikes ___ in the hearts	 PersonX intends people to think they are scary	PersonX ___ به قلبها ضربه می زند	 PersonX قصد دارد مردم فکر کنند که آنها ترسناک هستند
309	xIntent	PersonX masters every ___	to finish work	PersonX هر ___ تسلط دارد	برای به پایان رساندن کار	PersonX masters every ___. PersonX intends to finish work	PersonX هر ___ تسلط دارد. PersonX قصد دارد کار خود را تمام کند	PersonX masters every ___	 PersonX intends to finish work	PersonX هر ___ تسلط دارد	 PersonX قصد دارد کار خود را تمام کند
310	xIntent	PersonX masters every ___	excel at all subjects in school.	PersonX هر ___ تسلط دارد	در تمام دروس در مدرسه عالی است.	PersonX masters every ___. PersonX intends excel at all subjects in school.	PersonX هر ___ تسلط دارد. PersonX قصد دارد در تمام دروس مدرسه عالی باشد.	PersonX masters every ___	 PersonX intends excel at all subjects in school	PersonX هر ___ تسلط دارد	 PersonX قصد دارد در تمام دروس مدرسه عالی باشد
311	xIntent	PersonX meets ___ with force	to win	PersonX ___ را با زور ملاقات می کند	برنده شدن	PersonX meets ___ with force. PersonX intends to win	PersonX ___ را با زور ملاقات می کند. PersonX قصد دارد برنده شود	PersonX meets ___ with force	 PersonX intends to win	PersonX ___ را با زور ملاقات می کند	 PersonX قصد دارد برنده شود
312	xIntent	PersonX meets ___ with force	to act on his feelings.	PersonX ___ را با زور ملاقات می کند	به احساساتش عمل کنه	PersonX meets ___ with force. PersonX intends to act on his feelings.	PersonX ___ را با زور ملاقات می کند. PersonX قصد دارد براساس احساسات خود عمل کند.	PersonX meets ___ with force	 PersonX intends to act on his feelings	PersonX ___ را با زور ملاقات می کند	 PersonX قصد دارد براساس احساسات خود عمل کند
313	xIntent	PersonX determines the ___ by means	to be nice	PersonX ___ را با استفاده از آن تعیین می کند	خوب بودن	PersonX determines the ___ by means. PersonX intends to be nice	PersonX ___ را با استفاده از آن تعیین می کند. PersonX قصد دارد خوب باشد	PersonX determines the ___ by means	 PersonX intends to be nice	PersonX ___ را با استفاده از آن تعیین می کند	 PersonX قصد دارد خوب باشد
314	xIntent	PersonX determines the ___ by means	to play elements by means	PersonX ___ را با استفاده از آن تعیین می کند	برای بازی کردن عناصر	PersonX determines the ___ by means. PersonX intends to play elements by means	PersonX ___ را با استفاده از آن تعیین می کند. PersonX قصد دارد با استفاده از عناصر بازی کند	PersonX determines the ___ by means	 PersonX intends to play elements by means	PersonX ___ را با استفاده از آن تعیین می کند	 PersonX قصد دارد با استفاده از عناصر بازی کند
315	xIntent	PersonX determines the ___ by means	means and to very happy	PersonX ___ را با استفاده از آن تعیین می کند	به معنای و بسیار خوشحال است	PersonX determines the ___ by means. PersonX intends means and to very happy	PersonX ___ را با استفاده از آن تعیین می کند. PersonX قصد دارد و بسیار خوشحال است	PersonX determines the ___ by means	 PersonX intends means and to very happy	PersonX ___ را با استفاده از آن تعیین می کند	 PersonX قصد دارد و بسیار خوشحال است
316	xIntent	PersonX eats this ___ with you before suffer	to follow tradition	PersonX این ___ را قبل از رنج با شما می خورد	پیروی از سنت	PersonX eats this ___ with you before suffer. PersonX intends to follow tradition	PersonX این ___ را قبل از رنج با شما می خورد. PersonX قصد دارد از این سنت پیروی کند	PersonX eats this ___ with you before suffer	 PersonX intends to follow tradition	PersonX این ___ را قبل از رنج با شما می خورد	 PersonX قصد دارد از این سنت پیروی کند
317	xIntent	PersonX eats this ___ with you before suffer	be full before being in pain	PersonX این ___ را قبل از رنج با شما می خورد	قبل از درد سیر باشید	PersonX eats this ___ with you before suffer. PersonX intends be full before being in pain	PersonX این ___ را قبل از رنج با شما می خورد. PersonX قصد دارد قبل از درد ، سیر شود	PersonX eats this ___ with you before suffer	 PersonX intends be full before being in pain	PersonX این ___ را قبل از رنج با شما می خورد	 PersonX قصد دارد قبل از درد ، سیر شود
318	xIntent	PersonX divides the ___ into regions	the person was like space	PersonX ___ را به مناطق تقسیم می کند	شخص مانند فضا بود	PersonX divides the ___ into regions. PersonX intends the person was like space	PersonX ___ را به مناطق تقسیم می کند. PersonX قصد دارد این شخص مانند فضا باشد	PersonX divides the ___ into regions	 PersonX intends the person was like space	PersonX ___ را به مناطق تقسیم می کند	 PersonX قصد دارد این شخص مانند فضا باشد
319	xIntent	PersonX divides the ___ into regions	to make it easy to understand	PersonX ___ را به مناطق تقسیم می کند	تا درک آن آسان شود	PersonX divides the ___ into regions. PersonX intends to make it easy to understand	PersonX ___ را به مناطق تقسیم می کند. PersonX قصد دارد درک آن را آسان کند	PersonX divides the ___ into regions	 PersonX intends to make it easy to understand	PersonX ___ را به مناطق تقسیم می کند	 PersonX قصد دارد درک آن را آسان کند
320	xIntent	PersonX reads the ___ carefully	action block	PersonX ___ را با دقت می خواند	بلوک عمل	PersonX reads the ___ carefully. PersonX intends action block	PersonX ___ را با دقت می خواند. PersonX قصد بلوک اقدام را دارد	PersonX reads the ___ carefully	 PersonX intends action block	PersonX ___ را با دقت می خواند	 PersonX قصد بلوک اقدام را دارد
321	xIntent	PersonX reads the ___ carefully	to learn more	PersonX ___ را با دقت می خواند	برای یادگیری بیشتر	PersonX reads the ___ carefully. PersonX intends to learn more	PersonX ___ را با دقت می خواند. PersonX قصد دارد بیشتر بیاموزد	PersonX reads the ___ carefully	 PersonX intends to learn more	PersonX ___ را با دقت می خواند	 PersonX قصد دارد بیشتر بیاموزد
322	xIntent	PersonX lays another ___	to put things down	PersonX ___ دیگری را وضع می کند	برای قرار دادن چیزها	PersonX lays another ___. PersonX intends to put things down	PersonX ___ دیگری را وضع می کند. PersonX قصد دارد کارها را کنار بگذارد	PersonX lays another ___	 PersonX intends to put things down	PersonX ___ دیگری را وضع می کند	 PersonX قصد دارد کارها را کنار بگذارد
323	xIntent	PersonX lays another ___	connection of the cable	PersonX ___ دیگری را وضع می کند	اتصال کابل	PersonX lays another ___. PersonX intends connection of the cable	PersonX ___ دیگری را وضع می کند. PersonX قصد اتصال کابل را دارد	PersonX lays another ___	 PersonX intends connection of the cable	PersonX ___ دیگری را وضع می کند	 PersonX قصد اتصال کابل را دارد
324	xIntent	PersonX lays another ___	pesonx  lays  another  man	PersonX ___ دیگری را وضع می کند	pesonx مرد دیگری را وضع می کند	PersonX lays another ___. PersonX intends pesonx  lays  another  man	PersonX ___ دیگری را وضع می کند. PersonX قصد دارد pesonx مرد دیگری را به خدمت بگیرد	PersonX lays another ___	 PersonX intends pesonx  lays  another  man	PersonX ___ دیگری را وضع می کند	 PersonX قصد دارد pesonx مرد دیگری را به خدمت بگیرد
325	xIntent	PersonX sends ___ to protect	to be safe and good	PersonX ___ را برای محافظت ارسال می کند	ایمن و خوب بودن	PersonX sends ___ to protect. PersonX intends to be safe and good	PersonX ___ را برای محافظت ارسال می کند. PersonX قصد دارد تا ایمن و خوب باشد	PersonX sends ___ to protect	 PersonX intends to be safe and good	PersonX ___ را برای محافظت ارسال می کند	 PersonX قصد دارد تا ایمن و خوب باشد
326	xIntent	PersonX sends ___ to protect	save our family	PersonX ___ را برای محافظت ارسال می کند	خانواده ما را نجات دهید	PersonX sends ___ to protect. PersonX intends save our family	PersonX ___ را برای محافظت ارسال می کند. PersonX قصد دارد خانواده ما را نجات دهد	PersonX sends ___ to protect	 PersonX intends save our family	PersonX ___ را برای محافظت ارسال می کند	 PersonX قصد دارد خانواده ما را نجات دهد
327	xIntent	PersonX sends ___ to protect	like our family	PersonX ___ را برای محافظت ارسال می کند	مثل خانواده ما	PersonX sends ___ to protect. PersonX intends like our family	PersonX ___ را برای محافظت ارسال می کند. PersonX مانند خانواده ما قصد دارد	PersonX sends ___ to protect	 PersonX intends like our family	PersonX ___ را برای محافظت ارسال می کند	 PersonX مانند خانواده ما قصد دارد
328	xIntent	PersonX sends ___ to protect	love our family	PersonX ___ را برای محافظت ارسال می کند	خانواده ما را دوست داشته باشید	PersonX sends ___ to protect. PersonX intends love our family	PersonX ___ را برای محافظت ارسال می کند. PersonX قصد دارد خانواده ما را دوست داشته باشد	PersonX sends ___ to protect	 PersonX intends love our family	PersonX ___ را برای محافظت ارسال می کند	 PersonX قصد دارد خانواده ما را دوست داشته باشد
329	xIntent	PersonX sends ___ to protect	to ensure safety	PersonX ___ را برای محافظت ارسال می کند	برای اطمینان از ایمنی	PersonX sends ___ to protect. PersonX intends to ensure safety	PersonX ___ را برای محافظت ارسال می کند. PersonX قصد دارد از ایمنی اطمینان حاصل کند	PersonX sends ___ to protect	 PersonX intends to ensure safety	PersonX ___ را برای محافظت ارسال می کند	 PersonX قصد دارد از ایمنی اطمینان حاصل کند
330	xIntent	PersonX pushes PersonY's ___ far	to tell opinion	PersonX ___ PersonY را بسیار دور می کند	نظر گفتن	PersonX pushes PersonY's ___ far. PersonX intends to tell opinion	PersonX ___ PersonY را بسیار دور می کند. PersonX قصد دارد نظر خود را اعلام کند	PersonX pushes PersonY's ___ far	 PersonX intends to tell opinion	PersonX ___ PersonY را بسیار دور می کند	 PersonX قصد دارد نظر خود را اعلام کند
331	xIntent	PersonX pushes PersonY's ___ far	to push their limits	PersonX ___ PersonY را بسیار دور می کند	برای محدود کردن آنها	PersonX pushes PersonY's ___ far. PersonX intends to push their limits	PersonX ___ PersonY را بسیار دور می کند. PersonX قصد دارد محدودیت های خود را افزایش دهد	PersonX pushes PersonY's ___ far	 PersonX intends to push their limits	PersonX ___ PersonY را بسیار دور می کند	 PersonX قصد دارد محدودیت های خود را افزایش دهد
332	xIntent	PersonX leads a ___ to water	the horse to drink	PersonX یک ___ را به آب هدایت می کند	اسب برای نوشیدن	PersonX leads a ___ to water. PersonX intends the horse to drink	PersonX یک ___ را به آب هدایت می کند. PersonX قصد دارد اسب را بنوشد	PersonX leads a ___ to water	 PersonX intends the horse to drink	PersonX یک ___ را به آب هدایت می کند	 PersonX قصد دارد اسب را بنوشد
333	xIntent	PersonX leads a ___ to water	dog	PersonX یک ___ را به آب هدایت می کند	سگ	PersonX leads a ___ to water. PersonX intends dog	PersonX یک ___ را به آب هدایت می کند. PersonX قصد سگ دارد	PersonX leads a ___ to water	 PersonX intends dog	PersonX یک ___ را به آب هدایت می کند	 PersonX قصد سگ دارد
334	xIntent	PersonX leads a ___ to water	happy the  waters	PersonX یک ___ را به آب هدایت می کند	خوشحال آبها	PersonX leads a ___ to water. PersonX intends happy the  waters	PersonX یک ___ را به آب هدایت می کند. PersonX قصد دارد آبهای خوشی را رقم بزند	PersonX leads a ___ to water	 PersonX intends happy the  waters	PersonX یک ___ را به آب هدایت می کند	 PersonX قصد دارد آبهای خوشی را رقم بزند
335	xIntent	PersonX saves men 's ___	to help men	PersonX مردان ___ را ذخیره می کند	برای کمک به مردان	PersonX saves men 's ___. PersonX intends to help men	PersonX مردان ___ را ذخیره می کند. PersonX قصد دارد به مردان کمک کند	PersonX saves men 's ___	 PersonX intends to help men	PersonX مردان ___ را ذخیره می کند	 PersonX قصد دارد به مردان کمک کند
336	xIntent	PersonX adds ___ to the list	to be thorough	PersonX ___ را به لیست اضافه می کند	کامل بودن	PersonX adds ___ to the list. PersonX intends to be thorough	PersonX ___ را به لیست اضافه می کند. PersonX قصد دارد کامل باشد	PersonX adds ___ to the list	 PersonX intends to be thorough	PersonX ___ را به لیست اضافه می کند	 PersonX قصد دارد کامل باشد
337	xIntent	PersonX adds ___ to the list	more	PersonX ___ را به لیست اضافه می کند	بیشتر	PersonX adds ___ to the list. PersonX intends more	PersonX ___ را به لیست اضافه می کند. PersonX قصد بیشتری دارد	PersonX adds ___ to the list	 PersonX intends more	PersonX ___ را به لیست اضافه می کند	 PersonX قصد بیشتری دارد
338	xIntent	PersonX adds ___ to the list	to keep track of something important	PersonX ___ را به لیست اضافه می کند	برای پیگیری چیز مهمی	PersonX adds ___ to the list. PersonX intends to keep track of something important	PersonX ___ را به لیست اضافه می کند. PersonX قصد دارد چیز مهمی را پیگیری کند	PersonX adds ___ to the list	 PersonX intends to keep track of something important	PersonX ___ را به لیست اضافه می کند	 PersonX قصد دارد چیز مهمی را پیگیری کند
339	xIntent	PersonX adds ___ to the list	to note	PersonX ___ را به لیست اضافه می کند	به یاد داشته باشید	PersonX adds ___ to the list. PersonX intends to note	PersonX ___ را به لیست اضافه می کند. PersonX قصد دارد یادداشت کند	PersonX adds ___ to the list	 PersonX intends to note	PersonX ___ را به لیست اضافه می کند	 PersonX قصد دارد یادداشت کند
340	xIntent	PersonX adds ___ to the list	to highlight something	PersonX ___ را به لیست اضافه می کند	برجسته کردن چیزی	PersonX adds ___ to the list. PersonX intends to highlight something	PersonX ___ را به لیست اضافه می کند. PersonX قصد دارد چیزی را برجسته کند	PersonX adds ___ to the list	 PersonX intends to highlight something	PersonX ___ را به لیست اضافه می کند	 PersonX قصد دارد چیزی را برجسته کند
341	xIntent	PersonX uses ___ to support	to be believed	PersonX از ___ برای پشتیبانی استفاده می کند	باور شود	PersonX uses ___ to support. PersonX intends to be believed	PersonX از ___ برای پشتیبانی استفاده می کند. PersonX قصد دارد باور شود	PersonX uses ___ to support	 PersonX intends to be believed	PersonX از ___ برای پشتیبانی استفاده می کند	 PersonX قصد دارد باور شود
342	xIntent	PersonX uses ___ to support	to fully understand.	PersonX از ___ برای پشتیبانی استفاده می کند	برای درک کامل	PersonX uses ___ to support. PersonX intends to fully understand.	PersonX از ___ برای پشتیبانی استفاده می کند. PersonX قصد دارد کاملاً درک کند.	PersonX uses ___ to support	 PersonX intends to fully understand	PersonX از ___ برای پشتیبانی استفاده می کند	 PersonX قصد دارد کاملاً درک کند
343	xIntent	PersonX uses ___ to support	to use knowledge	PersonX از ___ برای پشتیبانی استفاده می کند	برای استفاده از دانش	PersonX uses ___ to support. PersonX intends to use knowledge	PersonX از ___ برای پشتیبانی استفاده می کند. PersonX قصد دارد از دانش استفاده کند	PersonX uses ___ to support	 PersonX intends to use knowledge	PersonX از ___ برای پشتیبانی استفاده می کند	 PersonX قصد دارد از دانش استفاده کند
344	xIntent	PersonX uses ___ to support	to be helpful	PersonX از ___ برای پشتیبانی استفاده می کند	مفید بودن	PersonX uses ___ to support. PersonX intends to be helpful	PersonX از ___ برای پشتیبانی استفاده می کند. PersonX قصد دارد مفید واقع شود	PersonX uses ___ to support	 PersonX intends to be helpful	PersonX از ___ برای پشتیبانی استفاده می کند	 PersonX قصد دارد مفید واقع شود
345	xIntent	PersonX uses ___ to support	to be productive	PersonX از ___ برای پشتیبانی استفاده می کند	مولد بودن	PersonX uses ___ to support. PersonX intends to be productive	PersonX از ___ برای پشتیبانی استفاده می کند. PersonX قصد دارد مثمر ثمر باشد	PersonX uses ___ to support	 PersonX intends to be productive	PersonX از ___ برای پشتیبانی استفاده می کند	 PersonX قصد دارد مثمر ثمر باشد
346	xIntent	PersonX raises ___ to help	to help others	PersonX ___ را برای کمک به شما بالا می برد	برای کمک به دیگران	PersonX raises ___ to help. PersonX intends to help others	PersonX ___ را برای کمک به شما بالا می برد. PersonX قصد دارد به دیگران کمک کند	PersonX raises ___ to help	 PersonX intends to help others	PersonX ___ را برای کمک به شما بالا می برد	 PersonX قصد دارد به دیگران کمک کند
347	xIntent	PersonX raises ___ to help	to provide for others.	PersonX ___ را برای کمک به شما بالا می برد	تأمین هزینه های دیگران.	PersonX raises ___ to help. PersonX intends to provide for others.	PersonX ___ را برای کمک به شما بالا می برد. PersonX قصد دارد هزینه های دیگران را تأمین کند.	PersonX raises ___ to help	 PersonX intends to provide for others	PersonX ___ را برای کمک به شما بالا می برد	 PersonX قصد دارد هزینه های دیگران را تأمین کند
348	xIntent	PersonX shows thee the ___	thee the words	PersonX به شما ___ را نشان می دهد	تو کلمات	PersonX shows thee the ___. PersonX intends thee the words	PersonX ___ را به شما نشان می دهد. PersonX به شما کلمات را می خواهد	PersonX shows thee the ___	 PersonX intends thee the words	PersonX ___ را به شما نشان می دهد	 PersonX به شما کلمات را می خواهد
