target_text_fa	target_text	prefix	input_text
به شخصی زنگ بزنم.	to call PersonY	xNeed	PersonX gets a date with PersonY
برای بستن تلفن	to close the phonecall	xWant	PersonX gets a date with PersonY
دوست داشتم	loved	oReact	PersonX gets a girlfriend
جذاب	attractive	xAttr	PersonX gets a girlfriend
برای دوست داشته شدن	to be loved	xIntent	PersonX gets a girlfriend
برای ملاقات با دختران	to meet girls	xNeed	PersonX gets a girlfriend
دوست داشتم	loved	xReact	PersonX gets a girlfriend
تا او را به دیدار پدر و مادرشان ببرند	to take her to meet their parents	xWant	PersonX gets a girlfriend
رقابت آمیز	competitive	oReact	PersonX gets a hole in one
مغرور	proud	xAttr	PersonX gets a hole in one
او می خواهد برنده شود	he wants to win	xIntent	PersonX gets a hole in one
کسی را برای گلف بازی کردن داشته باشم	to have someone to golf with	xNeed	PersonX gets a hole in one
خوب است.	good	xReact	PersonX gets a hole in one
بهترین گلف باز شدن	to be best golfer	xWant	PersonX gets a hole in one
امن و امان	safe	oReact	PersonX gets a restraining order
عصبانی	angry	xAttr	PersonX gets a restraining order
بیشتر از آنچه او می تواند داشته باشد.	more than he can have.	xIntent	PersonX gets a restraining order
برای انجام کاری بد	to do something bad	xNeed	PersonX gets a restraining order
کلاه بردار	cheated	xReact	PersonX gets a restraining order
تحت کنترل درآوردن	to keep under control	xWant	PersonX gets a restraining order
کمک کننده	helpful	oReact	PersonX gets a ride
سخت کوش	hardworking	xAttr	PersonX gets a ride
برای رفتن هم	to go too	xIntent	PersonX gets a ride
برای درخواست سواری	to ask for a ride	xNeed	PersonX gets a ride
سپاسگزارم.	grateful	xReact	PersonX gets a ride
نه برای راه رفتن	not to walk	xWant	PersonX gets a ride
مغرور.	proud.	oReact	PersonX gets a standing ovation
سپاسگزار	thankful	xAttr	PersonX gets a standing ovation
تا شناخته شود.	to be recognized.	xIntent	PersonX gets a standing ovation
برای انجام	to perform	xNeed	PersonX gets a standing ovation
سپاسگزار	thankful	xReact	PersonX gets a standing ovation
برای رفتن به خانه	to go home	xWant	PersonX gets a standing ovation
متعلق به	belonged	oReact	PersonX gets a team together
فرمان دهنده	commanding	xAttr	PersonX gets a team together
برای رقابت با یک تیم متفاوت.	to compete with a different team.	xIntent	PersonX gets a team together
برای گرفتن اجازه از آن ها	to get their permission	xNeed	PersonX gets a team together
هیجان زده.	excited.	xReact	PersonX gets a team together
احتیاج دارد	needed	oReact	PersonX gets a tutor
تصمیم گرفته شده	determined	xAttr	PersonX gets a tutor
امتحان بده	pass a test	xWant	PersonX gets a tutor
خوشحالم که برای آخرین بار به هم پیوند می زنیم.	glad to bond one last time.	oReact	PersonX gets all PersonX's friends
خدعه آمیز	deceitful	xAttr	PersonX gets all PersonX's friends
قبل از شروع ترم یک مهمانی داشته باشید.	have a party before the semester begins.	xIntent	PersonX gets all PersonX's friends
برای زنگ زدن به همه دوستان	To make calls to all friends	xNeed	PersonX gets all PersonX's friends
آزاد و دیوانه وار.	loose and wild minded.	xReact	PersonX gets all PersonX's friends
برای آرام شدن	to relax	xWant	PersonX gets all PersonX's friends
هیجان زده	excited	oReact	PersonX gets all PersonX's friends together
دوستانه	friendly	xAttr	PersonX gets all PersonX's friends together
برای جشن گرفتن	to have a party	xIntent	PersonX gets all PersonX's friends together
آن ها را دعوت کنید	invite them	xNeed	PersonX gets all PersonX's friends together
خوشحال	happy	xReact	PersonX gets all PersonX's friends together
برای راه انداختن یک مهمانی	To throw a party	xWant	PersonX gets all PersonX's friends together
خوب است که با هم باشیم.	good for being together	oReact	PersonX gets all PersonY's friends together
دوستانه	friendly	xAttr	PersonX gets all PersonY's friends together
برای جشن گرفتن	to celebrate	xIntent	PersonX gets all PersonY's friends together
دعوت نامه ها را بفرستیم	send out invitations	xNeed	PersonX gets all PersonY's friends together
برای دور هم جمع شدن با دوستانش خوب است.	good for having his friends around	xReact	PersonX gets all PersonY's friends together
برای نوشیدنی	to give a toast	xWant	PersonX gets all PersonY's friends together
با نشاط و سرزنده	lively	xAttr	PersonX gets angry at PersonY
برای اینکه احساس معتبر بودن بکنم	to feel validated	xIntent	PersonX gets angry at PersonY
وقتت را با شخصی بگذرانی.	spend time with PersonY	xNeed	PersonX gets angry at PersonY
غمگین	saddened	xReact	PersonX gets angry at PersonY
فریاد زدن	yell	xWant	PersonX gets angry at PersonY
بدبخت	unhappy	oReact	PersonX gets angry with PersonY
برای آدم های کله پوک.	to scold persony.	xIntent	PersonX gets angry with PersonY
برای جنگیدن با شخصی	to fight with personY	xNeed	PersonX gets angry with PersonY
متاسفم.	sorry for it	xReact	PersonX gets angry with PersonY
برای مشت زدن به شخصی	to punch PersonY	xWant	PersonX gets angry with PersonY
خوب است.	good	oReact	PersonX gets another job
برو گمشو!	Go getter	xAttr	PersonX gets another job
تا پول بیشتری بدست بیاورم	to make more money	xIntent	PersonX gets another job
پول بیشتر	more money	xNeed	PersonX gets another job
خوب است.	good	xReact	PersonX gets another job
برای رفتن به جایی دیگر	to move somewhere else	xWant	PersonX gets another job
عصبانی	angry	oReact	PersonX gets away from PersonY
فرز و چابک	agile	xAttr	PersonX gets away from PersonY
فاصله گرفتن از شخص	to have distance away from person	xIntent	PersonX gets away from PersonY
که در ارتباط با Y باشد	to be in connection with Y	xNeed	PersonX gets away from PersonY
آسوده خاطر	relaxed	xReact	PersonX gets away from PersonY
برای پیدا کردن جایی برای ماندن	to find a place to stay	xWant	PersonX gets away from PersonY
عصبانی	angry	oReact	PersonX gets away with murder
خوشبخت	lucky	xAttr	PersonX gets away with murder
برای آزاد بودن	to be free	xIntent	PersonX gets away with murder
نقشه یک قتل را بکشید	plan a murder	xNeed	PersonX gets away with murder
خوشبخت	lucky	xReact	PersonX gets away with murder
جشن گرفتن	celebrate	xWant	PersonX gets away with murder
آسوده خاطر	relieved	oReact	PersonX gets back to PersonY
خیانت کار	treacherous	xAttr	PersonX gets back to PersonY
برای برگشتن	to be get back	xIntent	PersonX gets back to PersonY
برای ایمیل کردن به شخصی	to email PersonY	xNeed	PersonX gets back to PersonY
خوشحال	happy	xReact	PersonX gets back to PersonY
مثل اینکه مجبورند با خلق و خوی بد او کنار بیایند.	like they have to deal with his poor nature	oReact	PersonX gets bad
مالیخولیایی	pessimistic	xAttr	PersonX gets bad
دنبال کسانی بگردید که با نگرش مثبت شما هم عقیده باشند.	Seek out those who share your positive attitude.	xWant	PersonX gets bad
خوشحال	happy	oReact	PersonX gets better grades
اهل مطالعه	studious	xAttr	PersonX gets better grades
یک جی. پی. ای خوب	a good gpa	xIntent	PersonX gets better grades
برای اینکه در امتحانات موفق باشیم	to do well on exams	xNeed	PersonX gets better grades
مغرور	proud	xReact	PersonX gets better grades
تا به دیگران در مورد نمرات خوب بگوید	to tell others about getting good grades	xWant	PersonX gets better grades
افسوس خورده.	regretful.	oReact	PersonX gets drunk with PersonX's friends
جامعه ای	Social	xAttr	PersonX gets drunk with PersonX's friends
تا بفهمم مست بودن چه احساسی دارد.	to know how it feels to be drunk.	xIntent	PersonX gets drunk with PersonX's friends
که تاکسي گرفته است	to have taken a cab	xNeed	PersonX gets drunk with PersonX's friends
احمقانه است!	stupid	xReact	PersonX gets drunk with PersonX's friends
بلند حرف زدن و ناراحت کننده بودن	to be loud and obnoxious	xWant	PersonX gets drunk with PersonX's friends
خوب است.	good	oReact	PersonX gets drunk with PersonY's friends
بیرون رفتن	outgoing	xAttr	PersonX gets drunk with PersonY's friends
تا اوقات خوشی داشته باشد	to have a good time	xIntent	PersonX gets drunk with PersonY's friends
برای بودن با مردم زیاد	to be with many people	xNeed	PersonX gets drunk with PersonY's friends
مستی	tipsy	xReact	PersonX gets drunk with PersonY's friends
تا اوقات خوشی داشته باشد	to have a great time	xWant	PersonX gets drunk with PersonY's friends
برای موفقیت در کاری که دوست دارد انجام دهد.	to excel at something he likes to do.	xIntent	PersonX gets first place
قطار	train	xNeed	PersonX gets first place
مغرور	proud	xReact	PersonX gets first place
برای جشن گرفتن	to have a party	xWant	PersonX gets first place
خوشحال	happy	oReact	PersonX gets flowers
دوست داشتن	loving	xAttr	PersonX gets flowers
تا آن ها را به دوست دخترش بدهد	to give them to his girlfriend	xIntent	PersonX gets flowers
که با آن ها بیرون بروم	to be going out with them	xNeed	PersonX gets flowers
خوشحال	happy	xReact	PersonX gets flowers
کمک کننده	helpful	oReact	PersonX gets help
نیازمند	needy	xAttr	PersonX gets help
برای انجام کاری	to get something done	xIntent	PersonX gets help
توضیح بدهند که چه کاری لازم است انجام شود	explain what they need done	xWant	PersonX gets help
سپاسگزارم.	grateful	oReact	PersonX gets hold of PersonY
قوی	strong	xAttr	PersonX gets hold of PersonY
برای نزدیک شدن به شخصی	to be close to PersonY	xNeed	PersonX gets hold of PersonY
خوشحال	happy	xReact	PersonX gets hold of PersonY
برای گفتن چیزی به شخصی	to say something to PersonY	xWant	PersonX gets hold of PersonY
بله	yes	oReact	PersonX gets in PersonY's way
حسود	jealous	xAttr	PersonX gets in PersonY's way
برای متوقف کردن شخص دیگر.	to stop the other person.	xIntent	PersonX gets in PersonY's way
تصمیم می گیرند سر راهشان قرار بگیرند	decide to get in the way	xNeed	PersonX gets in PersonY's way
خوشحالم که برنده شدم.	happy to have won.	xReact	PersonX gets in PersonY's way
برای اینکه از سر راه کنار بروم	to get out of the way	xWant	PersonX gets in PersonY's way
از آن سوء استفاده می کنند	taken advantage of	oReact	PersonX gets in on the act
آگهی دهنده	informative	xAttr	PersonX gets in on the act
تا از چیزی که در حال رخ دادن است سود ببریم.	to take advantage of what's going on.	xIntent	PersonX gets in on the act
برای آزار رساندن به یک شخص	to befriend someone	xNeed	PersonX gets in on the act
انگار چیزی برای یک معامله دارند.	like they got something for a deal.	xReact	PersonX gets in on the act
برای کار کردن با دیگران	to work with others	xWant	PersonX gets in on the act
مثل اینکه کارشان را انجام داده اند.	like they've done their job	oReact	PersonX gets into PersonY's car
دوستانه	friendly	xAttr	PersonX gets into PersonY's car
برای سفر	to travel	xIntent	PersonX gets into PersonY's car
تا پیاده به سمت اتومبیل شخصی برود.	to walk to PersonY's car	xNeed	PersonX gets into PersonY's car
رضایتمند از اینکه به جایی که نیاز داشت رسیده است	satisfied because he got to where he needed to go	xReact	PersonX gets into PersonY's car
برای سواری با شخصی	to ride with PersonY	xWant	PersonX gets into PersonY's car
ناتوان و خشمگین	helpless and angry	oReact	PersonX gets it back
هشدار	alert	xAttr	PersonX gets it back
وسایلش را پس می گیرد	his stuff back	xIntent	PersonX gets it back
برای اینکه آن را داشته باشم	to of had it	xNeed	PersonX gets it back
راضی، خوشحال و خوب	satisfied, happy and good	xReact	PersonX gets it back
برای بردن آن به خانه	to take it home	xWant	PersonX gets it back
تحسین آمیز	appreciative	oReact	PersonX gets it working
قادر به انجام این کار	capable	xAttr	PersonX gets it working
برای کمک کردن	to be helpful	xIntent	PersonX gets it working
برای گرفتن همه ابزارها	to get all the tools	xNeed	PersonX gets it working
کمک کننده	helpful	xReact	PersonX gets it working
برای استفاده از این شیء	to use the item	xWant	PersonX gets it working
خوشحال	happy	oReact	PersonX gets married ___
دوست داشتن	loving	xAttr	PersonX gets married ___
برای آغاز یک خانواده	to start a family	xIntent	PersonX gets married ___
ثبت نام در وبسایت ماترونیل	sign up on matrimonial website	xNeed	PersonX gets married ___
هیجان زده	excited	xReact	PersonX gets married ___
برای انجام این تعهدات	to fulfill the commitment	xWant	PersonX gets married ___
خوشحال	happy	oReact	PersonX gets married a year later
صلح آمیز	peaceful	xAttr	PersonX gets married a year later
تا قبل از ازدواج در تجارت موفق شود	to succeed in his business before marriage	xIntent	PersonX gets married a year later
عاشق شدن	to fall in love	xNeed	PersonX gets married a year later
مضطرب	anxious	xReact	PersonX gets married a year later
همه را دعوت کنید	invite everyone	xWant	PersonX gets married a year later
در عشق	in love	oReact	PersonX gets married in PersonY
رمانتیک	romantic	xAttr	PersonX gets married in PersonY
داشتن یک رابطه دائمی	to be in a permanent relationship	xIntent	PersonX gets married in PersonY
برای برنامه ریزی عروسی	to plan a wedding	xNeed	PersonX gets married in PersonY
مسخره شده	overjoyed	xReact	PersonX gets married in PersonY
داشتن یک همسر دوست داشتنی	to have a loving spouse	xWant	PersonX gets married in PersonY
خوشحال	happy	oReact	PersonX gets married today
عصبی	nervous	xAttr	PersonX gets married today
تا زندگی خود را با کسی بگذرانند	to spend their life with someone	xIntent	PersonX gets married today
برای برنامه ریزی عروسی	to plan a wedding	xNeed	PersonX gets married today
خوشحال	happy	xReact	PersonX gets married today
برای کشتن همسرشان و گرفتن پولشان	to murder their spouse and take their money	xWant	PersonX gets married today
سپاسگزار.	grateful.	oReact	PersonX gets my hair cut
مهارتمند	skillful	xAttr	PersonX gets my hair cut
برای کمک به کسانی که موهایشان را کوتاه می کنند.	to help someone get their haircut.	xIntent	PersonX gets my hair cut
به برگزیدگان مدل مو را بگویید	tell the selects the hair style	xNeed	PersonX gets my hair cut
انجام شده.	fulfilled.	xReact	PersonX gets my hair cut
به خانه برگردید	come to home	xWant	PersonX gets my hair cut
خوب است.	good	oReact	PersonX gets my money
سپاسگزار	thankful	xAttr	PersonX gets my money
تا تجارت خود را گسترش دهد	to keep his business growing	xIntent	PersonX gets my money
برای ملاقات با من	to meet me	xNeed	PersonX gets my money
خوشحال	happy	xReact	PersonX gets my money
تا شهریه اش را بپردازد	to pay his fees	xWant	PersonX gets my money
سپاسگزار.	grateful.	oReact	PersonX gets my money back
سرخ شدن	blushing	xAttr	PersonX gets my money back
برای کمک به من.	to help me.	xIntent	PersonX gets my money back
برای گرفتن پول	to take the money	xNeed	PersonX gets my money back
خوشحالم که به من کمک می کنی.	happy to help me.	xReact	PersonX gets my money back
برای بیرون کشیدن عدالت	To dole out justice	xWant	PersonX gets my money back
سپاسگزارم.	grateful	oReact	PersonX gets my stuff together
پاکیزه	clean	xAttr	PersonX gets my stuff together
برای کمک کردن	to be helpful	xIntent	PersonX gets my stuff together
تا وسایلشان را جمع آوری کنند	to gather their things	xNeed	PersonX gets my stuff together
جهنمی	hellpful	xReact	PersonX gets my stuff together
تا من را تحت تأثیر قرار دهد	to impress me	xWant	PersonX gets my stuff together
احساسی.	emotional.	oReact	PersonX gets near PersonY
خرد شده	Pervert	xAttr	PersonX gets near PersonY
برای ابراز محبت.	to show affection.	xIntent	PersonX gets near PersonY
برای شروع راه رفتن	to start walking	xNeed	PersonX gets near PersonY
رمانتیک.	romantic.	xReact	PersonX gets near PersonY
آدم خوشامد گو.	greet personY	xWant	PersonX gets near PersonY
حسود	envious	oReact	PersonX gets popular
آغشته به طناب	Talented	xAttr	PersonX gets popular
دوست داشتنی بودن	to be liked	xIntent	PersonX gets popular
برای جلب توجه	to get attention	xNeed	PersonX gets popular
محبوب	popular	xReact	PersonX gets popular
برای بدست آوردن قدرت	to gain power	xWant	PersonX gets popular
برای بیرون رفتن زیبا به نظر برسد	to look nice for the outing	xIntent	PersonX gets ready for a date
برای رزرو کردن یک رستوران.	to make a reservation at a restaurant.	xNeed	PersonX gets ready for a date
جذاب	attractive	xReact	PersonX gets ready for a date
فرد دیگر را برای شب خوبی بیرون ببرید.	Take the other person out on a good night.	xWant	PersonX gets ready for a date
همانند شخص ایکس که مسیحی است	like personx is christian	oReact	PersonX gets saved
خوشحال	happy	xAttr	PersonX gets saved
برای دانستن مذهب	to know religion	xIntent	PersonX gets saved
تا کسی آنها را نجات دهد	to have someone rescue them	xNeed	PersonX gets saved
امیدوار کننده	hopeful	xReact	PersonX gets saved
خوشحال	happy	oReact	PersonX gets some friends together
جامعه ای	social	xAttr	PersonX gets some friends together
برای گذراندن ساعات معاشرت با دوستش یا او	to have social time with his or her friend's	xIntent	PersonX gets some friends together
تا لذت ببریم	to have fun	xWant	PersonX gets some friends together
خوشحال	happy	oReact	PersonX gets the ball
ورزشکار	athletic	xAttr	PersonX gets the ball
توپ را ببینید	see the ball	xNeed	PersonX gets the ball
مثل یک برنده	like a winner	xReact	PersonX gets the ball
قاپ زدن	play catch	xWant	PersonX gets the ball
شکست خورده	defeated	oReact	PersonX gets the better of PersonY
دزدکی	sneaky	xAttr	PersonX gets the better of PersonY
برتری خود را نشان دهند	show their superiority	xIntent	PersonX gets the better of PersonY
برای ارزیابی شرایط	to assess the situation	xNeed	PersonX gets the better of PersonY
قدرتمند	powerful	xReact	PersonX gets the better of PersonY
برای جشن گرفتن	to celebrate	xWant	PersonX gets the better of PersonY
خوشحال	happy	oReact	PersonX gets the job done
تصمیم گرفته شده	determined	xAttr	PersonX gets the job done
برای تکمیل وظیفه اش	to complete his responsibility	xIntent	PersonX gets the job done
تا یاد بگیریم چگونه این کار را انجام دهیم	to learn how to do it	xNeed	PersonX gets the job done
خوشحال و مغرور	happy and proud	xReact	PersonX gets the job done
آب بنوشید	drink water	xWant	PersonX gets the job done
توهین شده	insulted	oReact	PersonX gets the last laugh
محتویات	content	xAttr	PersonX gets the last laugh
احساس برتری کردن	to feel superior	xIntent	PersonX gets the last laugh
برای لذت بردن	to enjoy	xNeed	PersonX gets the last laugh
صدای سوت	smug	xReact	PersonX gets the last laugh
تا لذت ببریم	to have fun	xWant	PersonX gets the last laugh
هیجان زده	excited	oReact	PersonX gets to PersonY's house
آسوده خاطر	relieved	xAttr	PersonX gets to PersonY's house
ملاقات کننده	visit person	xIntent	PersonX gets to PersonY's house
ماشین رو کنار بگذارید	drive over	xNeed	PersonX gets to PersonY's house
خوشحال	happy	xReact	PersonX gets to PersonY's house
در بزنید	knock on door	xWant	PersonX gets to PersonY's house
شادمان	joyful	oReact	PersonX gets to know PersonY better
بیرون رفتن	outgoing	xAttr	PersonX gets to know PersonY better
با شخصی دوست شوید	become friends with person	xIntent	PersonX gets to know PersonY better
برای شناسایی شخصی	to know PersonY	xNeed	PersonX gets to know PersonY better
خوشحال	happy	xReact	PersonX gets to know PersonY better
با شخص ای در مورد چیزهایی که مشترک دارند صحبت کنید.	talk with Person Y about things they have in common	xWant	PersonX gets to know PersonY better
خوشحال هم هستم.	happy also	oReact	PersonX gets to see PersonY
جامعه ای	Social	xAttr	PersonX gets to see PersonY
برای گذراندن زمان	to spend time	xIntent	PersonX gets to see PersonY
برنامه ملاقاتی را تنظیم کنید	schedule a visit	xNeed	PersonX gets to see PersonY
خوشحال	happy	xReact	PersonX gets to see PersonY
تا از شخصی برای امضا درخواست کند.	to ask PersonY for an autograph	xWant	PersonX gets to see PersonY
برای عوض کردن چیزها	to switch things up	xIntent	PersonX gets up on the wrong side of the bed
زنگ خطر بزن	set alarm	xNeed	PersonX gets up on the wrong side of the bed
ناامید.	frustrated	xReact	PersonX gets up on the wrong side of the bed
برای بیرون آمدن از رختخواب	to get out of bed	xWant	PersonX gets up on the wrong side of the bed
ناراحت	upset	oReact	PersonX gets what PersonY needed
مهربان	kind	xAttr	PersonX gets what PersonY needed
برای کمک به یک همکار	to help a co worker	xIntent	PersonX gets what PersonY needed
مقداری پول بگیرید	get some money	xNeed	PersonX gets what PersonY needed
خوشحال	happy	xReact	PersonX gets what PersonY needed
مخصوص	special	oReact	PersonX gets what PersonY wanted
کمک کننده	helpful	xAttr	PersonX gets what PersonY wanted
تا آنچه را که می خواهند بدست بیاورند	to get what they want	xIntent	PersonX gets what PersonY wanted
برای کنترل کردن	to be in control	xWant	PersonX gets what PersonY wanted
هیجان زده و مشتاق	excited and enthusiastic	oReact	PersonX gimmes a five
شجاعانه	bold	xAttr	PersonX gimmes a five
دست ها را به هم فشار دهید	slap hands	xNeed	PersonX gimmes a five
مثل اینکه در حالت خوب و هیجان زده ای هستند.	like they're in a good mood and excited	xReact	PersonX gimmes a five
برای جدا شدن از یکدیگر	to part ways	xWant	PersonX gimmes a five
قابل قدردانی.	appreciative.	oReact	PersonX gives PersonX's baby ___
لووینگ	Loving	xAttr	PersonX gives PersonX's baby ___
برای نشان دادن عشقشان.	to show their love.	xIntent	PersonX gives PersonX's baby ___
تا دمای آب درست باشد	to get the water temperature just right	xNeed	PersonX gives PersonX's baby ___
سخاوتمند	generous	xReact	PersonX gives PersonX's baby ___
برای یک لحظه آن را بگذارید پایین	lay it down for a nap	xWant	PersonX gives PersonX's baby ___
سپاسگزارم.	grateful	oReact	PersonX gives PersonX's daughter
علاقه مند شدن به	caring	xAttr	PersonX gives PersonX's daughter
غذای او را تقسیم کنید	share her food	xIntent	PersonX gives PersonX's daughter
برای پیدا کردن یک هدیه	to find a gift	xNeed	PersonX gives PersonX's daughter
دوست داشتن	loving	xReact	PersonX gives PersonX's daughter
تا واکنش دخترشان را ببینند.	to see their daughter's reaction	xWant	PersonX gives PersonX's daughter
مراقبت شده است.	cared for.	oReact	PersonX gives PersonX's daughter ___
سخاوتمند	generous	xAttr	PersonX gives PersonX's daughter ___
برای خوشحال کردن دختر شخص ایکس	to make personx's daughter happy	xIntent	PersonX gives PersonX's daughter ___
هدیه را بخرد	buy the present	xNeed	PersonX gives PersonX's daughter ___
خوشحال	happy	xReact	PersonX gives PersonX's daughter ___
عکس العمل دختر شخص ایکس را تماشا کنید.	watch the reaction of person x's daughter	xWant	PersonX gives PersonX's daughter ___
خجالت زده	shy	oReact	PersonX gives PersonX's friends
بیگانه	Extrovert	xAttr	PersonX gives PersonX's friends
برای جشن گرفتن تعطیلات	to celebrate the holidays	xIntent	PersonX gives PersonX's friends
برای نزدیک شدن به دوستانش یا در تماس بودن با آنها	to be near his friends or in contact	xNeed	PersonX gives PersonX's friends
محتویات	content	xReact	PersonX gives PersonX's friends
برای جلب محبت دیگران	to gain favor	xWant	PersonX gives PersonX's friends
جدا از یک تیم.	apart of a team.	oReact	PersonX gives PersonX's husband ___
خوب است.	nice	xAttr	PersonX gives PersonX's husband ___
برای کمک گرفتن.	to get help.	xIntent	PersonX gives PersonX's husband ___
برای ازدواج.	to be married.	xNeed	PersonX gives PersonX's husband ___
مثل یک رهبر.	like a leader.	xReact	PersonX gives PersonX's husband ___
شوهرشان از آن ها تشکر کند.	their husband to thank them.	xWant	PersonX gives PersonX's husband ___
خوشحال.	happy.	oReact	PersonX gives PersonX's kids ___
مسئولیت پذیر	responsible	xAttr	PersonX gives PersonX's kids ___
بچه هایش در جشن هالووین با دادن لباس های خنک به آنها خوش بگذرانند.	her kids to have fun on halloween by giving them cool costumes.	xIntent	PersonX gives PersonX's kids ___
تا هنر اصلاح مو را بیاموزد	to know the art of hair cutting	xNeed	PersonX gives PersonX's kids ___
خوب است.	good.	xReact	PersonX gives PersonX's kids ___
برای شستن موهایشان	to wash their hair	xWant	PersonX gives PersonX's kids ___
برای کمک کردن	to be helpful	xIntent	PersonX gives PersonX's mom
برای پولدار شدن	to have money	xNeed	PersonX gives PersonX's mom
کمک کننده	helpful	xReact	PersonX gives PersonX's mom
لبخند زدن	to smile	xWant	PersonX gives PersonX's mom
مادرش احساس می کند پسرش او را دوست دارد	his mom feels loved by her son	oReact	PersonX gives PersonX's mom ___
خوشمزه است.	sweet	xAttr	PersonX gives PersonX's mom ___
برای اینکه احساس کند مادرش او را دوست دارد	to feel loved by his mom	xIntent	PersonX gives PersonX's mom ___
پول	money	xNeed	PersonX gives PersonX's mom ___
توسط مادرش دوست داشته شده است.	loved by his mom	xReact	PersonX gives PersonX's mom ___
خوشحال	happy	oReact	PersonX gives PersonX's mother
دوستانه	friendly	xAttr	PersonX gives PersonX's mother
سخاوتمند بودن	to be generous	xIntent	PersonX gives PersonX's mother
برای خوشحال کردن مادر	to make mother happy	xWant	PersonX gives PersonX's mother
سپاسگزارم.	grateful	oReact	PersonX gives PersonX's mother ___
خوب است.	nice	xAttr	PersonX gives PersonX's mother ___
برای رفتن نزد مادرشان	to go to their mother	xNeed	PersonX gives PersonX's mother ___
محتویات	content	xReact	PersonX gives PersonX's mother ___
تا ببینند مادرشان چگونه از آن خوشش می آید.	to see how their mother likes it	xWant	PersonX gives PersonX's mother ___
روشنفکر	enlightened	oReact	PersonX gives PersonX's position
پر سر و صدا	noisy	xAttr	PersonX gives PersonX's position
برای اینکه شفاف باشد	to be transparent	xIntent	PersonX gives PersonX's position
حرف زدن با یک نفر	to be talking to someone	xNeed	PersonX gives PersonX's position
فهمیدند	understood	xReact	PersonX gives PersonX's position
تا در موقعیت خود باقی بمانند	to stand their position	xWant	PersonX gives PersonX's position
بالغ شده است.	enamored	oReact	PersonX gives PersonX's sister
سخاوتمند	generous	xAttr	PersonX gives PersonX's sister
تا آن ها را غافلگیر کند.	to surprise them	xIntent	PersonX gives PersonX's sister
برای پیدا کردن او	to find her	xNeed	PersonX gives PersonX's sister
حسی	intuitive	xReact	PersonX gives PersonX's sister
یک یادداشت تشکر آمیز بگیرید	get a thank you note	xWant	PersonX gives PersonX's sister
خوشحال.	happy.	oReact	PersonX gives PersonX's sister ___
دوست داشتن	loving	xAttr	PersonX gives PersonX's sister ___
تا به خواهرش برای تولدش گل بدهد.	to give her sister flowers for her birthday.	xIntent	PersonX gives PersonX's sister ___
برای تمیز کردن کمدشان	to be cleaning their closet	xNeed	PersonX gives PersonX's sister ___
خوب است.	good.	xReact	PersonX gives PersonX's sister ___
تا برای خواهر تولد مبارک آرزو کند.	to wish sister a happy birthday	xWant	PersonX gives PersonX's sister ___
خوشحال	happy	oReact	PersonX gives PersonX's son ___
ملاحظه کنید	considerate	xAttr	PersonX gives PersonX's son ___
تا بتواند در مدرسه به کار خود ادامه دهد.	to continue to do well at school.	xIntent	PersonX gives PersonX's son ___
به سمت پسر یا شخص دیگری می رود	walks up to son/person	xNeed	PersonX gives PersonX's son ___
خوب است.	good.	xReact	PersonX gives PersonX's son ___
تا برای کریسمس او را غافلگیر کند.	to surprise him with it for Christmas	xWant	PersonX gives PersonX's son ___
علاقمند.	interested.	oReact	PersonX gives PersonX's testimony
شجاع	brave	xAttr	PersonX gives PersonX's testimony
تا داستانی را به اشتراک بگذارد.	to share a story.	xIntent	PersonX gives PersonX's testimony
داستانشان را بگو	tell their story	xNeed	PersonX gives PersonX's testimony
با صدای بلند	outspoken	xReact	PersonX gives PersonX's testimony
برای راستگو بودن	to be truthful	xWant	PersonX gives PersonX's testimony
سپاسگزارم.	grateful	oReact	PersonX gives PersonX's wife
برای شوهر خوب بودن	to be a good husband	xIntent	PersonX gives PersonX's wife
در مورد چیزی که دوست دارد فکر کنید	think about what she likes	xNeed	PersonX gives PersonX's wife
خوشحال	happy	xReact	PersonX gives PersonX's wife
تا اوقات خوشی داشته باشد	to have a good time	xWant	PersonX gives PersonX's wife
خوشحال.	happy.	oReact	PersonX gives PersonX's wife ___
سخاوتمند	generous	xAttr	PersonX gives PersonX's wife ___
تا همسرش را غافلگیر کند.	to surprise his wife.	xIntent	PersonX gives PersonX's wife ___
تا پول هدیه را بپردازد.	to pay for the gift	xNeed	PersonX gives PersonX's wife ___
خوب است.	good.	xReact	PersonX gives PersonX's wife ___
برای لبخند زدن به همسر	to make wife smile	xWant	PersonX gives PersonX's wife ___
از جمله:	included	oReact	PersonX gives PersonY PersonZ's opinion
غیرقابل اعتماد	untrustworthy	xAttr	PersonX gives PersonY PersonZ's opinion
برای به اشتراک گذاری دانش	to share knowledge	xIntent	PersonX gives PersonY PersonZ's opinion
تا نظر شخص Z را بدانم	to know personZ's opinion	xNeed	PersonX gives PersonY PersonZ's opinion
مثل اینکه آنها به ما کمک کردند.	like they helped out.	xReact	PersonX gives PersonY PersonZ's opinion
تا ببینم آن ها چه می گویند	to see what they say	xWant	PersonX gives PersonY PersonZ's opinion
سپاسگزارم.	grateful	oReact	PersonX gives PersonY ___ back
بی پروا	forthright	xAttr	PersonX gives PersonY ___ back
برای احترام گذاشتن	to be respectful	xIntent	PersonX gives PersonY ___ back
برای دریافت چیزی از شخصی	to have received something from persony	xNeed	PersonX gives PersonY ___ back
کمک کننده	helpful	xReact	PersonX gives PersonY ___ back
